2019-12-30 14:24:15.804 [info]  Loading ui from D:/Git/YDWE/Build/publish/Release/unknownui
2019-12-30 14:27:59.071 [info]  ClosePathAsArchive	Custom_V1
2019-12-30 14:27:59.072 [info]  ********************* on exit start *********************
2019-12-30 14:27:59.072 [info]  Unload plugin YDTaskbarSupport.
2019-12-30 14:27:59.072 [info]  Unload plugin Tesh.
2019-12-30 14:27:59.073 [info]  Unload plugin YDTrigger.
2019-12-30 14:27:59.073 [info]  Unload plugin YDClient.
2019-12-30 14:27:59.073 [info]  ********************* on exit end *********************
2019-12-30 14:27:59.073 [info]  Main program exit.
2019-12-30 14:27:59.080 [info]  IAT hook cleanup started.
2019-12-30 14:27:59.080 [info]  WE IAT hook cleaned.
2019-12-30 14:27:59.080 [info]  Storm.dll IAT hook cleaned.
2019-12-30 14:27:59.080 [info]  IAT hook cleanup completed.
2019-12-30 14:27:59.080 [info]  Inline hook uninstallation begins!
2019-12-30 14:27:59.080 [info]  Inline hook uninstallation finished!
2019-12-30 14:27:59.080 [info]  LuaEngine has been shut down.
